structured_name,simple_name,airr_object,vdjbase_table,type,list,title,description,example
Repertoire.repertoire_id,repertoire_id,Repertoire,,string,False,Repertoire ID,"Identifier for the repertoire object. This identifier should be globally unique so that repertoires from multiple studies can be combined together without conflict. The repertoire_id is used to link other AIRR data to a Repertoire. Specifically, the Rearrangements Schema includes repertoire_id for referencing the specific Repertoire for that Rearrangement.
",
Repertoire.repertoire_name,repertoire_name,Repertoire,,string,False,Repertoire name,Short generic display name for the repertoire,
Repertoire.repertoire_description,repertoire_description,Repertoire,,string,False,Repertoire description,Generic repertoire description,
Repertoire.study.study_id,study_id,study,,string,False,Study ID,Unique ID assigned by study registry,PRJNA001
Repertoire.study.study_title,study_title,study,,string,False,Study title,Descriptive study title,Effects of sun light exposure of the Treg repertoire
Repertoire.study.study_type.id,study_type.id,study,,string,False,Study type,"CURIE of the concept, encoding the ontology and the local ID",
Repertoire.study.study_type.label,study_type.label,study,,string,False,Study type,Label of the concept in the respective ontology,
Repertoire.study.study_description,study_description,study,,string,False,Study description,Generic study description,Longer description
Repertoire.study.inclusion_exclusion_criteria,inclusion_exclusion_criteria,study,,string,False,Study inclusion/exclusion criteria,List of criteria for inclusion/exclusion for the study,Include: Clinical P. falciparum infection; Exclude: Seropositive for HIV
Repertoire.study.grants,grants,study,,string,False,Grant funding agency,Funding agencies and grant numbers,"NIH, award number R01GM987654"
Repertoire.study.study_contact,study_contact,study,,string,False,Contact information (study),"Full contact information of the contact persons for this study This should include an e-mail address and a persistent identifier such as an ORCID ID.
","Dr. P. Stibbons, p.stibbons@unseenu.edu, https://orcid.org/0000-0002-1825-0097"
Repertoire.study.collected_by,collected_by,study,,string,False,Contact information (data collection),"Full contact information of the data collector, i.e. the person who is legally responsible for data collection and release. This should include an e-mail address.
","Dr. P. Stibbons, p.stibbons@unseenu.edu"
Repertoire.study.lab_name,lab_name,study,,string,False,Lab name,Department of data collector,Department for Planar Immunology
Repertoire.study.lab_address,lab_address,study,,string,False,Lab address,Institution and institutional address of data collector,"School of Medicine, Unseen University, Ankh-Morpork, Disk World"
Repertoire.study.submitted_by,submitted_by,study,,string,False,Contact information (data deposition),"Full contact information of the data depositor, i.e. the person submitting the data to a repository. This is supposed to be a short-lived and technical role until the submission is relased.
","Adrian Turnipseed, a.turnipseed@unseenu.edu"
Repertoire.study.pub_ids,pub_ids,study,,string,False,Relevant publications,Publications describing the rationale and/or outcome of the study,PMID:85642
Repertoire.study.keywords_study,keywords_study,study,,string,True,Keywords for study,,
Repertoire.study.adc_publish_date,adc_publish_date,study,,string,False,ADC Publish Date,"Date the study was first published in the AIRR Data Commons.
",2021-02-02
Repertoire.study.adc_update_date,adc_update_date,study,,string,False,ADC Update Date,"Date the study data was updated in the AIRR Data Commons.
",2021-02-02
Repertoire.subject.subject_id,subject_id,subject,,string,False,Subject ID,"Subject ID assigned by submitter, unique within study",SUB856413
Repertoire.subject.synthetic,synthetic,subject,,boolean,False,Synthetic library,TRUE for libraries in which the diversity has been synthetically generated (e.g. phage display),
Repertoire.subject.species.id,species.id,subject,,string,False,Organism,"CURIE of the concept, encoding the ontology and the local ID",
Repertoire.subject.species.label,species.label,subject,,string,False,Organism,Label of the concept in the respective ontology,
Repertoire.subject.organism.id,organism.id,subject,,string,False,,"CURIE of the concept, encoding the ontology and the local ID",
Repertoire.subject.organism.label,organism.label,subject,,string,False,,Label of the concept in the respective ontology,
Repertoire.subject.sex,sex,subject,,string,False,Sex,Biological sex of subject,female
Repertoire.subject.age_min,age_min,subject,,number,False,Age minimum,Specific age or lower boundary of age range.,60
Repertoire.subject.age_max,age_max,subject,,number,False,Age maximum,"Upper boundary of age range or equal to age_min for specific age. This field should only be null if age_min is null.
",80
Repertoire.subject.age_unit.id,age_unit.id,subject,,string,False,Age unit,"CURIE of the concept, encoding the ontology and the local ID",
Repertoire.subject.age_unit.label,age_unit.label,subject,,string,False,Age unit,Label of the concept in the respective ontology,
Repertoire.subject.age_event,age_event,subject,,string,False,Age event,"Event in the study schedule to which `Age` refers. For NCBI BioSample this MUST be `sampling`. For other implementations submitters need to be aware that there is currently no mechanism to encode to potential delta between `Age event` and `Sample collection time`, hence the chosen events should be in temporal proximity.
",enrollment
Repertoire.subject.age,age,subject,,string,False,,,
Repertoire.subject.ancestry_population,ancestry_population,subject,,string,False,Ancestry population,Broad geographic origin of ancestry (continent),"list of continents, mixed or unknown"
Repertoire.subject.ethnicity,ethnicity,subject,,string,False,Ethnicity,Ethnic group of subject (defined as cultural/language-based membership),"English, Kurds, Manchu, Yakuts (and other fields from Wikipedia)"
Repertoire.subject.race,race,subject,,string,False,Race,Racial group of subject (as defined by NIH),"White, American Indian or Alaska Native, Black, Asian, Native Hawaiian or Other Pacific Islander, Other"
Repertoire.subject.strain_name,strain_name,subject,,string,False,Strain name,Non-human designation of the strain or breed of animal used,C57BL/6J
Repertoire.subject.linked_subjects,linked_subjects,subject,,string,False,Relation to other subjects,Subject ID to which `Relation type` refers,SUB1355648
Repertoire.subject.link_type,link_type,subject,,string,False,Relation type,"Relation between subject and `linked_subjects`, can be genetic or environmental (e.g.exposure)","father, daughter, household"
Repertoire.subject.diagnosis.Diagnosis.study_group_description,study_group_description,subject,,string,True,Study group description,Designation of study arm to which the subject is assigned to,control
Repertoire.subject.diagnosis.Diagnosis.disease_diagnosis.id,disease_diagnosis.id,subject,,string,True,Diagnosis,"CURIE of the concept, encoding the ontology and the local ID",
